Open	High	Low	Close	Volume
309.48	309.48	309.48	309.48	0.47994
309.48	309.48	309.48	309.48	1.16784
307.39	309.77	307.0	309.77	0.77972
309.77	309.77	309.77	309.77	6.41662
309.77	309.77	309.77	309.77	0.0
309.77	309.77	309.77	309.77	0.36751
309.77	309.77	309.77	309.77	0.0
309.77	309.77	309.77	309.77	0.90664
309.77	309.77	309.77	309.77	1.3949
309.77	309.97	309.77	309.97	7.41069
309.97	309.97	309.97	309.97	0.47703
309.97	309.97	309.97	309.97	0.58905
308.82	308.82	308.82	308.82	1.00445
308.82	308.82	308.82	308.82	11.65284
308.82	308.82	308.82	308.82	7.38289
308.82	308.82	308.82	308.82	6.66768
308.82	308.82	308.82	308.82	0.22153
308.82	308.82	308.82	308.82	0.40446
308.82	308.82	308.82	308.82	0.54261
308.82	308.82	308.82	308.82	0.2716
309.97	309.97	309.97	309.97	0.2988
309.97	309.97	309.87	309.87	1.72136
309.87	309.87	309.87	309.87	0.26874
309.87	309.87	309.87	309.87	0.85364
309.87	309.87	307.86	307.86	0.59868
309.87	309.87	309.87	309.87	0.49419
309.87	309.87	309.87	309.87	0.44201
309.62	309.62	309.62	309.62	4.27195
309.62	309.62	309.62	309.62	0.11692
309.62	309.62	309.62	309.62	2.51949
309.62	309.62	309.62	309.62	0.29477
309.62	309.62	309.62	309.62	0.31215
309.62	309.62	309.62	309.62	0.21735
309.62	309.62	309.62	309.62	0.00655
308.62	308.62	308.62	308.62	0.15035
308.62	308.62	308.62	308.62	3.69028
308.62	308.62	308.62	308.62	9.60445
308.62	308.62	308.62	308.62	3.46149
308.62	308.62	308.62	308.62	1.12927
308.62	308.62	308.62	308.62	4.99502
308.62	308.62	308.62	308.62	4.36474
308.62	309.62	308.62	309.62	1.62171
309.62	309.62	309.62	309.62	0.0
309.62	309.62	309.62	309.62	6.52497
308.74	308.74	308.74	308.74	50.53503
309.62	309.62	309.62	309.62	4.03975
309.62	309.62	309.62	309.62	0.2498
309.62	309.62	309.62	309.62	1.34554
308.67	308.67	308.67	308.67	0.58334
308.67	308.67	308.67	308.67	4.61971
309.62	310.94	309.62	310.94	15.67839
310.94	310.94	310.94	310.94	1.25278
310.94	310.94	310.94	310.94	0.0
310.94	310.94	310.94	310.94	0.61039
310.94	310.94	310.94	310.94	0.0
309.62	309.62	309.62	309.62	23.00563
309.62	310.94	309.62	310.94	9.21134
310.52	310.52	310.52	310.52	1.32735
310.52	310.52	310.52	310.52	0.0
310.52	310.52	310.52	310.52	2.6136
310.52	310.52	310.52	310.52	0.34165
310.52	310.52	310.52	310.52	0.50332
310.52	310.52	310.52	310.52	0.91145
310.52	310.52	310.52	310.52	0.0
310.52	310.52	310.52	310.52	12.2407
310.52	311.46	310.5	311.46	11.4551
309.89	310.5	309.89	310.5	58.16935
310.5	310.5	310.5	310.5	2.55219
310.5	310.5	310.5	310.5	40.66602
310.5	310.5	310.5	310.5	64.98468
310.5	310.5	310.5	310.5	0.0
310.5	310.5	310.5	310.5	2.17956
310.5	311.46	310.5	311.46	12.6133
311.46	311.46	311.46	311.46	1.00209
311.46	311.46	311.46	311.46	3.21621
311.46	311.46	311.46	311.46	3.03692
312.0	312.0	312.0	312.0	10.0673
312.0	312.0	310.37	310.37	2.72148
312.0	312.0	312.0	312.0	2.8181
311.14	312.0	311.14	311.14	9.91106
311.14	311.14	311.14	311.14	0.37041
311.13	311.13	311.13	311.13	0.69777
311.13	311.13	311.13	311.13	1.27425
311.13	311.13	311.13	311.13	0.0
311.13	311.13	311.13	311.13	0.26289
311.13	311.13	311.13	311.13	0.0
311.13	311.13	311.13	311.13	0.69841
311.13	311.13	311.13	311.13	3.29855
310.69	310.69	310.69	310.69	1.97701
310.69	310.69	309.29	309.29	7.98012
310.62	310.62	310.62	310.62	5.71281
309.95	309.95	309.95	309.95	50.69409
310.62	310.62	310.62	310.62	0.28485
310.62	310.62	310.62	310.62	0.4334
310.62	310.62	310.62	310.62	2.18718
310.0	310.0	310.0	310.0	7.24227
310.0	310.0	310.0	310.0	0.0
310.0	310.0	310.0	310.0	1.64057
310.0	310.0	310.0	310.0	2.80667
310.0	310.0	310.0	310.0	0.71512
310.0	310.0	310.0	310.0	0.43679
310.0	310.0	310.0	310.0	0.57286
310.0	310.0	310.0	310.0	12.92289
309.29	310.0	309.29	310.0	6.72681
310.0	310.0	310.0	310.0	0.78299
310.0	310.0	310.0	310.0	1.53783
310.0	310.0	310.0	310.0	0.78575
310.0	310.0	310.0	310.0	0.51093
310.0	310.0	310.0	310.0	4.24487
310.0	310.0	310.0	310.0	6.54006
310.62	310.62	310.62	310.62	0.19757
310.62	310.62	310.62	310.62	2.51941
310.62	310.62	310.62	310.62	0.0
310.62	310.62	310.62	310.62	1.6224
310.62	310.62	310.62	310.62	1.19682
310.62	310.62	310.62	310.62	0.08421
310.62	310.62	310.62	310.62	0.31435
310.62	310.62	310.47	310.47	6.45238
310.47	310.47	310.47	310.47	0.0
310.47	310.47	310.47	310.47	2.10121
310.47	310.47	310.47	310.47	3.67276
308.54	309.22	308.54	309.22	50.13748
309.22	309.22	309.22	309.22	0.0
309.22	309.22	309.22	309.22	4.03987
309.22	309.22	309.22	309.22	0.0
309.22	309.22	309.22	309.22	1.16423
309.22	309.22	309.22	309.22	1.55576
309.22	309.22	309.22	309.22	0.0
309.22	309.22	309.22	309.22	0.46759
309.22	309.22	309.22	309.22	1.56322
309.22	309.22	309.22	309.22	4.11249
309.22	309.22	309.22	309.22	7.0291
309.22	309.22	309.22	309.22	6.10388
310.47	310.47	310.47	310.47	7.99781
310.47	310.65	310.47	310.65	3.03341
310.65	310.65	310.65	310.65	0.0
310.65	310.65	310.65	310.65	13.72008
310.65	310.65	310.65	310.65	2.83376
310.65	310.65	310.65	310.65	0.43184
310.42	310.42	310.42	310.42	1.12702
310.42	310.42	310.42	310.42	0.62014
310.42	310.42	310.42	310.42	1.66531
310.42	310.42	310.42	310.42	13.13078
310.42	310.42	310.42	310.42	2.87265
310.42	310.97	310.42	310.97	11.27444
310.97	310.97	310.97	310.97	4.78568
310.97	310.97	310.4	310.4	4.16294
309.67	310.4	309.67	310.4	53.66779
310.4	310.4	310.4	310.4	1.50124
310.4	310.4	310.4	310.4	0.0
309.3	309.3	309.3	309.3	13.34288
309.3	309.3	309.3	309.3	0.33896
309.3	309.3	309.3	309.3	0.4536
309.3	309.3	309.3	309.3	7.05977
309.3	309.3	309.3	309.3	3.57856
309.3	309.3	309.3	309.3	2.23387
308.3	308.3	308.3	308.3	5.71987
308.3	308.3	308.3	308.3	5.6612
308.3	308.3	308.3	308.3	4.7766
308.3	308.3	308.3	308.3	1.45437
307.84	308.3	307.84	308.3	60.66086
308.3	308.3	307.78	307.78	0.54141
307.78	307.78	307.78	307.78	1.07515
307.78	307.78	307.78	307.78	9.78209
307.78	307.78	307.78	307.78	0.1792
307.78	307.78	307.78	307.78	5.87589
307.78	307.78	307.78	307.78	0.59968
308.12	308.12	308.12	308.12	2.89311
308.12	308.12	308.12	308.12	6.56176
308.12	308.39	308.12	308.39	4.1204
308.39	308.39	308.39	308.39	0.01076
309.3	309.3	309.3	309.3	0.70381
309.3	309.3	309.3	309.3	0.2839
309.3	309.3	309.3	309.3	0.80257
309.3	309.3	309.3	309.3	0.45521
309.3	309.3	309.3	309.3	0.61318
308.92	309.3	308.92	309.3	9.32324
308.92	308.92	308.92	308.92	1.89649
308.92	308.92	308.92	308.92	1.63511
308.92	308.92	308.92	308.92	0.0
308.92	308.92	308.92	308.92	15.05799
308.92	310.4	308.92	310.4	1.15609
310.4	310.4	310.4	310.4	1.58066
310.4	310.4	310.4	310.4	0.0
310.4	310.4	310.4	310.4	0.46669
310.4	310.4	310.4	310.4	4.78168
310.4	310.68	310.4	310.68	3.61948
310.68	310.68	310.68	310.68	2.58278
310.68	310.68	310.68	310.68	0.0
310.68	310.68	310.51	310.51	2.02252
310.51	310.51	310.51	310.51	0.0
310.51	310.51	310.51	310.51	2.02494
309.44	310.51	309.44	310.51	51.16241
309.56	309.56	309.56	309.56	0.18727
308.39	309.56	308.39	309.56	3.85751
309.56	309.56	309.56	309.56	1.39687
309.56	309.56	309.56	309.56	7.24128
309.56	309.56	309.56	309.56	0.15919
309.56	309.56	309.56	309.56	0.0
309.56	309.56	309.56	309.56	1.1928
309.56	309.56	309.56	309.56	0.05821
309.56	309.56	308.39	308.39	0.54005
309.56	309.56	308.39	309.56	5.13183
308.39	308.39	308.39	308.39	3.246
308.39	308.39	308.39	308.39	0.0
309.56	309.56	309.56	309.56	0.36056
309.56	309.56	309.56	309.56	3.11221
309.56	309.56	309.56	309.56	4.74578
308.95	308.95	308.95	308.95	17.48034
308.95	308.95	308.95	308.95	8.17404
308.95	308.95	308.95	308.95	2.31936
308.95	308.95	308.95	308.95	0.0
308.95	308.95	308.95	308.95	1.42311
308.95	308.95	308.95	308.95	0.77573
308.95	308.95	308.95	308.95	0.09985
308.95	308.95	308.95	308.95	1.70731
308.95	308.95	308.95	308.95	0.36
308.95	309.12	308.95	309.12	0.7593
309.12	309.12	309.12	309.12	4.70241
308.75	309.12	308.75	309.12	55.18247
309.12	309.42	309.12	309.42	0.68051
309.42	309.42	309.42	309.42	0.49913
309.42	309.42	309.42	309.42	0.47959
309.42	309.42	309.42	309.42	0.19574
309.42	309.42	309.42	309.42	3.74529
309.42	309.42	309.42	309.42	1.08657
310.51	310.51	310.51	310.51	0.89388
310.51	310.51	310.51	310.51	3.58763
310.51	310.51	310.51	310.51	0.0
310.05	310.05	310.05	310.05	25.15537
310.05	310.45	310.05	310.45	7.73168
310.45	310.45	310.45	310.45	0.00682
310.05	310.45	310.05	310.45	1.27563
310.45	310.45	310.45	310.45	0.54055
310.45	310.45	310.45	310.45	7.71203
310.45	310.45	310.45	310.45	0.0
309.72	309.72	309.72	309.72	1.98279
309.72	309.72	309.72	309.72	0.24309
309.72	309.72	309.72	309.72	1.07314
308.39	308.39	307.98	307.98	12.27473
309.72	309.72	309.72	309.72	7.88998
309.62	309.62	309.62	309.62	6.80429
308.76	308.76	308.76	308.76	0.86293
308.76	308.76	308.76	308.76	2.63326
308.07	308.07	308.07	308.07	48.80394
308.76	308.76	308.76	308.76	7.75994
308.62	308.62	308.62	308.62	26.0866
308.2	308.2	308.2	308.2	0.7174
308.2	308.2	308.2	308.2	6.03146
308.2	308.2	308.2	308.2	7.27935
308.03	308.03	308.03	308.03	3.77986
308.03	308.03	308.03	308.03	8.55458
308.03	308.03	308.03	308.03	1.72736
308.03	308.03	308.03	308.03	0.07852
308.03	308.03	308.03	308.03	18.74874
308.03	308.03	308.03	308.03	1.70171
308.03	308.03	308.03	308.03	20.92253
308.03	308.03	308.03	308.03	1.9915
308.03	308.03	308.03	308.03	0.0
308.03	308.03	308.03	308.03	3.10175
308.03	308.03	308.03	308.03	4.28485
308.12	308.12	308.12	308.12	1.46581
308.12	308.12	308.12	308.12	5.09028
308.12	308.12	308.12	308.12	0.44161
308.12	308.12	308.12	308.12	0.38164
308.12	308.12	308.12	308.12	9.81586
308.12	308.12	308.12	308.12	1.88224
308.52	308.52	308.52	308.52	1.35406
308.52	308.52	308.52	308.52	0.4
